cement_kg_m3,blast_furnace_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,age_days,compressive_strength_mpa,estimated_co2_kg_m3,estimated_material_cost_index
193.02,24.89,2.31,127.26,11.32,837.02,792.69,1,3.0,183.96,53.3
442.66,55.43,165.51,207.91,0.12,1059.53,941.07,365,77.766,383.65,63.93
275.89,182.72,176.21,227.52,2.98,914.67,928.42,3,44.982,255.59,60.39
500.57,93.58,185.41,191.88,13.64,1083.75,699.0,56,84.058,457.56,108.13
217.11,1.12,59.84,174.9,10.49,827.81,583.46,7,8.949,202.61,54.76
447.27,171.41,187.47,198.81,3.65,824.54,629.37,90,86.566,401.76,82.29
524.95,170.36,165.99,150.74,25.46,1109.97,788.11,1,55.41,502.19,145.21
498.92,107.32,108.41,148.42,18.12,1006.76,870.01,7,51.765,462.76,117.02
381.41,198.3,195.16,147.2,9.95,812.4,556.11,365,91.703,357.91,92.34
522.9,183.67,25.76,128.31,7.54,881.33,749.47,1,45.3,469.9,95.48
295.82,34.5,130.13,207.54,26.19,918.79,644.71,365,44.455,298.37,108.59
234.45,95.53,44.22,139.69,23.73,903.78,892.65,28,29.065,244.82,95.91
378.8,123.98,55.16,124.16,25.58,1115.5,672.27,180,66.572,372.68,120.28
391.64,53.48,195.9,159.8,22.05,1105.44,876.35,7,49.607,375.85,113.71
418.15,133.29,67.32,239.47,9.24,800.96,568.87,180,66.824,380.89,85.3
527.01,214.73,88.28,186.29,23.49,878.88,911.72,180,95.0,502.34,140.53
428.1,29.53,23.66,135.22,26.23,1036.31,831.32,90,52.442,408.4,119.97
223.03,50.29,108.4,152.23,15.73,1066.35,593.11,14,26.994,220.44,73.95
485.46,105.76,158.15,124.47,4.55,1098.96,578.57,7,55.188,430.49,83.37
257.31,119.94,172.84,204.77,4.33,914.82,568.67,28,34.793,237.49,57.01
244.4,54.65,112.02,126.72,23.33,894.61,875.32,7,36.79,251.14,95.97
527.98,29.48,27.5,218.9,13.95,943.0,806.21,56,63.419,473.71,101.39
244.17,70.09,46.34,157.34,18.0,935.98,927.91,1,8.565,242.17,81.05
260.21,189.61,46.29,211.98,4.42,1030.74,724.5,1,18.255,242.45,57.4
262.48,131.39,134.25,172.94,1.59,961.64,556.47,365,46.25,237.53,50.04
358.45,74.34,146.62,170.62,13.81,808.86,920.4,3,40.948,334.91,88.61
388.77,211.44,52.66,235.94,4.17,1006.81,796.92,3,39.242,352.98,73.99
204.5,80.3,177.47,135.18,12.31,897.89,766.44,14,32.511,202.7,68.05
525.28,59.27,18.82,234.43,23.61,989.92,559.94,3,39.855,488.79,126.97
266.51,105.35,23.87,206.95,11.8,1117.58,837.47,1,3.0,253.27,69.82
412.33,36.07,33.59,224.11,16.92,893.11,598.47,90,54.098,380.76,95.66
528.56,15.07,64.4,153.36,27.39,886.77,685.73,56,72.386,495.45,135.54
157.89,27.29,159.86,147.13,16.64,996.81,824.54,365,22.141,165.94,68.86
253.42,85.81,101.22,138.47,8.96,996.79,681.36,365,52.664,237.78,62.88
395.86,13.49,18.21,191.32,3.83,1037.52,612.55,3,23.087,343.93,58.76
182.36,175.13,39.92,149.9,18.53,838.86,690.84,365,45.776,197.72,82.08
122.94,76.03,158.8,134.11,16.57,805.88,710.98,3,6.403,139.51,67.85
184.91,99.33,113.19,204.48,9.47,1046.61,692.11,56,28.402,181.54,57.34
308.15,116.4,117.99,188.9,11.85,1058.72,939.24,7,41.965,291.4,79.47
405.63,11.87,51.35,225.17,20.97,896.75,564.35,180,54.704,380.2,103.99
267.34,71.78,107.18,170.83,21.82,1133.71,852.63,7,24.078,269.33,95.95
298.05,65.63,184.54,144.14,23.62,1106.91,886.13,365,60.713,299.42,106.79
133.25,200.67,170.83,143.15,19.18,1020.25,716.77,1,27.516,161.42,84.82
507.23,0.78,82.66,223.37,18.1,832.18,631.57,7,43.408,461.8,109.47
281.7,159.2,167.29,177.7,17.71,897.1,596.42,56,54.971,282.27,95.91
413.0,203.66,107.32,126.34,13.7,895.91,747.16,14,62.036,389.37,102.37
512.56,164.55,103.31,164.78,8.68,1023.33,759.2,56,78.979,463.14,98.85
245.07,154.23,60.92,220.92,19.18,914.25,930.55,365,44.418,251.01,90.59
487.92,176.5,189.51,220.59,23.56,1119.74,802.25,90,95.0,468.58,137.39
184.63,35.12,28.66,176.93,11.24,1022.72,898.88,1,3.0,177.95,53.86
258.04,207.41,97.72,133.16,11.21,873.41,921.68,7,35.688,253.75,77.43
426.94,152.86,159.26,214.24,22.58,1092.46,761.94,3,47.946,412.92,124.76
134.71,37.28,58.77,120.19,17.27,1113.05,716.32,14,9.153,145.93,64.31
143.42,132.08,100.32,128.4,13.52,866.43,851.89,90,41.574,154.8,64.28
375.36,213.15,116.52,150.08,19.49,992.16,815.91,180,84.271,367.5,113.36
521.8,175.37,21.43,179.55,13.02,1058.52,833.18,365,94.788,477.07,108.31
294.36,30.28,13.91,219.94,18.46,1120.14,833.11,90,22.253,282.14,84.15
426.88,163.74,54.82,134.49,21.53,884.72,927.95,14,64.976,409.86,118.71
231.97,12.77,61.7,148.08,13.67,939.43,671.95,1,12.525,221.17,65.37
349.79,60.34,179.16,158.03,13.82,1021.37,775.19,28,50.913,327.23,87.91
222.05,32.44,194.37,164.7,3.61,1079.07,804.78,14,29.616,200.68,45.72
459.95,171.5,144.4,156.19,5.84,876.93,727.43,7,60.156,415.2,87.59
361.64,115.92,49.71,224.33,18.95,1073.33,566.09,1,26.466,346.82,100.87
334.74,141.35,129.79,178.59,9.66,1102.81,695.21,90,55.864,312.47,79.4
168.28,136.06,192.58,225.63,19.06,974.92,660.67,14,32.826,186.91,85.08
161.86,216.08,151.83,130.78,10.41,1006.62,769.48,180,51.343,172.4,66.65
134.27,106.82,7.41,202.38,11.63,1018.65,619.55,180,3.0,140.37,52.97
300.87,96.8,18.4,166.33,22.3,1018.07,646.57,365,45.578,298.56,99.36
225.88,144.9,176.14,220.67,2.14,800.57,616.55,3,30.242,209.09,49.64
401.65,25.09,127.2,239.97,15.81,811.28,789.42,56,49.966,371.0,94.58
475.55,182.23,53.39,124.82,11.19,961.61,749.17,28,74.845,435.95,99.94
537.69,156.22,89.07,238.37,10.14,835.84,672.96,7,54.333,485.98,104.37
209.14,180.29,97.7,138.86,26.19,831.82,657.63,14,38.844,234.25,107.11
199.25,97.11,10.64,130.22,20.71,850.22,823.37,90,28.109,209.51,82.91
202.46,30.52,30.24,180.38,1.0,958.96,754.38,180,15.734,176.44,30.15
316.61,89.04,199.91,227.15,17.98,1071.29,879.84,3,29.062,308.12,97.18
233.49,96.98,110.85,126.81,1.06,884.69,711.53,365,48.882,209.16,41.89
254.06,196.7,149.28,201.01,29.26,1036.76,941.52,365,64.825,279.52,123.38
219.67,28.28,114.71,217.99,5.22,992.92,946.27,90,18.933,199.34,45.97
352.46,23.76,11.28,126.14,16.47,970.92,648.48,365,55.482,327.83,85.58
134.61,145.25,188.61,183.24,1.63,913.04,922.58,90,29.251,130.97,37.95
537.42,189.04,164.82,211.4,16.19,817.12,902.22,90,88.449,499.24,124.79
485.82,92.2,144.35,147.6,1.12,1056.86,919.94,14,52.681,424.08,73.32
162.62,59.03,194.81,232.0,25.02,1105.77,689.23,365,42.631,186.29,93.99
514.71,130.8,106.7,139.9,10.54,1052.43,945.15,56,82.759,465.65,101.53
452.33,96.25,50.82,226.8,27.5,1035.37,708.33,1,29.489,436.23,131.79
137.48,151.76,42.25,178.89,5.24,1123.39,932.27,56,17.739,136.71,41.91
493.99,65.59,196.42,141.52,6.39,904.56,934.2,56,75.532,438.63,87.7
383.8,60.11,177.61,211.0,19.54,841.05,836.86,3,39.293,365.25,106.22
420.97,149.42,81.59,206.76,19.0,838.52,885.41,90,64.51,400.31,111.73
218.18,18.16,131.03,130.49,26.6,1037.56,925.87,56,27.562,231.91,99.19
411.74,6.5,89.91,235.79,5.89,908.71,697.59,28,41.821,361.66,68.2
341.74,148.45,30.46,172.84,16.71,1146.65,602.88,28,42.894,328.21,94.38
337.6,168.17,100.29,167.82,0.81,888.99,878.71,28,50.604,302.03,58.32
197.73,85.24,86.12,189.76,24.33,1124.23,864.42,3,11.281,214.69,93.96
165.77,168.5,28.36,189.8,4.23,900.03,936.22,1,10.598,160.03,43.38
348.69,95.6,1.67,158.3,16.41,848.55,896.79,90,53.893,329.37,89.62
498.64,32.02,129.08,235.45,12.91,911.91,785.1,1,36.204,449.32,99.52
431.36,158.65,37.42,141.99,29.41,965.51,590.39,28,64.212,425.57,137.9
135.14,154.64,83.14,228.36,6.86,808.71,904.82,14,7.903,138.33,47.51
270.44,134.96,129.47,192.67,13.37,927.18,723.11,180,55.388,263.3,80.51
509.07,159.77,40.88,124.87,4.53,918.28,583.78,7,63.215,451.95,85.22
207.89,191.27,189.2,220.76,15.24,850.49,922.46,7,35.123,218.27,84.01
385.42,84.45,58.45,208.48,15.58,1081.83,859.51,3,32.203,359.62,93.46
456.9,130.88,154.28,195.01,3.73,1089.45,836.54,56,64.854,406.58,79.49
331.93,190.87,181.29,160.01,5.39,903.88,624.84,365,79.774,307.76,73.93
262.82,150.35,157.28,129.47,29.11,874.71,609.35,7,48.993,283.63,121.12
344.84,0.05,11.9,219.63,29.16,923.63,795.03,3,8.439,340.01,114.75
148.53,44.62,163.35,208.22,19.4,1136.97,814.95,3,3.165,163.68,75.98
263.36,199.68,64.84,187.8,10.95,926.72,640.01,365,55.258,256.65,75.54
411.91,81.91,195.07,174.92,6.5,1047.37,946.7,365,77.724,370.15,79.22
343.85,130.96,42.96,161.47,5.97,842.39,750.45,180,58.752,311.86,67.08
432.23,81.84,95.34,152.26,4.28,1036.79,656.68,3,46.476,381.88,72.11
442.17,173.39,18.8,191.86,18.82,1008.63,815.09,90,63.076,418.47,113.0
167.99,77.42,179.05,188.61,15.05,1051.61,948.93,28,26.055,175.87,70.36
168.24,27.13,1.21,238.65,8.63,826.59,745.79,90,3.0,158.74,43.71
327.41,204.62,23.16,169.5,3.21,1009.33,728.03,14,36.019,298.23,62.57
121.82,4.69,161.76,156.03,25.88,1088.56,566.18,1,3.0,148.52,86.11
424.63,101.7,28.39,235.18,6.23,939.14,607.85,90,57.684,378.59,74.79
281.79,81.55,170.09,156.16,14.07,902.24,704.23,14,39.518,271.15,81.5
309.46,89.28,5.06,178.59,1.53,1039.47,806.23,28,36.622,271.84,47.41
126.44,99.74,11.88,164.45,16.22,1107.16,735.07,90,3.772,140.65,63.19
242.38,169.05,1.38,156.97,15.5,852.16,900.47,14,37.987,242.68,79.71
149.06,108.12,88.46,219.82,16.77,805.28,608.17,28,18.401,162.86,70.91
161.72,103.32,49.53,132.09,8.33,823.96,944.68,56,23.37,159.01,49.44
461.82,7.18,90.63,121.98,20.35,1107.93,675.15,365,77.327,427.41,110.41
219.5,157.17,123.25,203.72,6.32,1088.04,629.87,365,52.994,210.16,58.08
142.82,31.98,175.18,140.58,28.54,885.92,570.06,14,18.228,172.81,97.74
526.34,65.19,169.94,128.47,22.45,829.64,559.96,28,78.856,491.28,130.66
417.88,159.27,175.08,189.3,11.49,947.97,678.55,14,61.145,388.23,97.02
500.91,217.52,67.17,190.31,2.0,828.16,941.66,28,70.675,445.55,83.03
223.32,139.6,198.75,229.84,2.11,847.64,630.39,7,25.827,206.94,49.79
339.17,181.22,151.55,211.68,19.63,1069.38,853.4,56,53.538,335.42,108.53
530.75,144.88,77.37,235.5,17.36,1073.14,901.49,90,76.494,490.61,120.33
352.88,191.66,4.82,132.04,22.24,896.92,598.17,56,56.201,349.05,111.56
198.88,116.51,78.31,121.68,29.93,1017.62,650.28,90,43.209,226.65,109.97
418.0,68.37,52.47,216.76,0.82,951.44,576.89,7,29.014,362.44,59.09
351.12,152.3,28.75,197.87,26.74,1129.42,701.61,14,44.014,352.48,120.81
476.33,212.29,135.25,185.17,10.74,1063.72,633.71,365,95.0,439.62,104.28
415.19,179.09,37.7,146.84,14.66,1003.3,617.99,180,81.607,389.65,100.51
331.2,162.71,163.84,209.63,9.57,1036.6,900.52,365,73.874,311.49,81.6
283.13,178.6,121.41,202.98,23.65,1046.71,883.81,56,57.714,293.44,110.47
159.85,142.37,129.01,160.34,4.11,1110.6,863.57,3,22.886,154.99,44.58
327.81,48.8,190.73,125.69,0.93,884.56,932.2,7,44.942,287.36,52.71
358.63,112.3,85.43,137.3,15.12,1101.15,576.06,14,43.906,338.6,92.12
201.72,45.7,4.03,123.21,18.46,1092.91,585.11,14,21.757,204.28,73.71
148.33,93.24,176.71,135.71,13.43,842.61,905.56,1,25.162,157.63,64.97
251.72,194.14,2.91,155.2,24.74,1062.28,931.79,180,43.671,267.2,105.77
139.26,100.09,39.5,127.77,1.78,909.18,715.71,14,15.159,129.02,29.75
241.06,15.53,147.14,172.79,24.81,1013.39,891.07,14,22.442,248.63,97.93
328.22,16.04,93.03,157.05,26.17,1100.47,943.1,28,39.629,323.84,109.65
239.55,123.89,153.44,134.67,6.73,837.44,858.49,1,29.402,226.12,60.38
133.23,94.6,111.39,141.5,26.34,944.38,682.35,28,26.612,164.23,92.91
358.04,204.06,22.21,187.99,8.17,1076.1,764.5,7,31.767,332.13,78.55
184.28,89.17,178.22,215.93,22.56,1023.91,599.33,90,30.986,202.53,91.88
534.38,215.25,70.56,178.29,23.86,825.52,665.31,7,61.513,508.88,141.66
248.71,10.43,15.43,165.63,21.31,1132.6,731.05,3,5.852,246.55,84.48
418.21,128.08,156.25,139.46,1.17,854.16,665.08,180,82.938,369.44,68.32
252.65,141.32,194.87,219.21,27.97,1117.43,691.54,90,49.831,273.29,117.92
365.4,57.29,163.84,203.63,29.69,1094.46,930.04,7,42.016,365.38,128.63
159.83,44.49,6.71,127.56,26.15,1046.04,834.17,56,11.046,180.95,87.94
293.24,71.32,41.13,213.93,0.87,898.62,666.32,1,6.665,256.47,44.01
283.17,26.91,127.83,175.07,22.73,968.49,710.6,7,33.272,281.51,97.81
323.0,39.28,12.94,182.74,27.31,1030.37,586.72,7,24.139,321.26,110.31
293.71,6.76,170.78,122.98,25.66,1113.4,780.56,14,39.21,294.59,106.69
284.25,69.15,187.87,137.13,16.41,823.94,641.08,3,34.108,276.47,87.49
301.17,20.66,42.31,156.88,5.18,879.0,860.95,7,24.447,266.57,52.22
198.75,99.95,65.91,127.45,13.81,1001.86,651.34,56,39.203,199.34,68.0
413.04,136.2,122.29,126.22,28.95,1075.81,688.25,90,77.265,409.39,136.36
260.6,68.1,182.6,136.02,15.58,1097.31,934.02,365,56.225,254.85,82.29
174.93,34.69,68.6,198.76,17.17,852.25,752.96,56,4.465,179.96,69.09
419.84,138.46,175.16,186.07,1.94,1080.22,600.65,3,46.206,373.17,71.93
354.5,214.54,5.77,239.49,19.67,1057.45,811.53,56,51.964,347.94,106.97
512.52,35.35,162.51,239.14,16.52,899.09,705.94,14,59.089,467.8,111.78
364.41,165.58,9.73,132.17,21.84,843.85,810.83,7,48.45,356.49,110.32
358.62,152.11,160.56,223.11,1.17,910.26,823.0,56,59.575,320.56,63.03
475.61,50.31,123.09,175.25,22.52,1058.66,752.49,90,76.337,446.29,121.82
456.26,103.49,17.2,125.82,14.51,835.54,595.31,14,51.274,418.63,98.96
430.28,218.99,134.15,199.05,15.99,832.47,563.12,3,47.528,409.33,112.3
237.3,62.84,190.57,176.61,19.16,827.94,867.83,3,26.006,240.58,88.4
248.4,123.11,162.26,230.94,8.78,908.47,670.65,7,25.651,237.05,66.86
316.18,13.88,176.29,120.4,11.23,1148.81,919.48,90,52.768,291.21,74.03
394.34,59.3,126.51,177.97,21.96,946.61,825.64,365,74.508,377.01,111.44
336.56,6.71,11.52,170.27,7.66,862.79,619.05,365,38.438,299.03,60.46
221.83,192.16,24.14,158.42,2.96,887.74,693.69,56,35.839,207.22,48.43
338.09,166.44,161.45,192.59,19.99,940.17,902.7,365,77.862,334.23,108.64
360.06,54.43,6.3,190.38,22.64,916.78,790.61,1,20.334,346.21,103.87
208.65,85.26,84.3,165.38,6.37,885.43,694.7,365,44.191,195.21,50.31
465.05,12.91,3.15,217.76,19.59,910.4,745.51,1,32.657,427.6,105.8
300.09,18.25,122.31,148.77,24.49,1030.5,783.87,14,30.874,297.99,103.41
293.79,143.9,151.05,195.31,0.53,954.96,780.02,365,65.518,263.66,52.69
393.6,209.35,179.29,120.25,15.23,1087.1,572.71,3,56.98,377.17,107.13
324.93,175.08,135.22,161.82,25.99,1148.29,899.67,1,43.286,332.74,121.64
423.75,140.22,170.94,231.27,2.35,1093.48,754.5,28,59.412,377.18,73.37
463.5,114.43,199.81,160.17,25.78,808.54,721.02,7,61.36,447.22,136.06
213.42,191.48,99.29,133.44,14.29,1037.2,864.78,14,31.304,219.67,78.72
270.62,5.44,67.21,166.17,11.09,1027.89,913.58,365,31.095,249.49,63.26
380.1,186.58,113.77,178.73,28.06,852.52,767.12,90,71.516,383.31,133.36
461.4,205.49,5.38,195.8,11.82,1063.26,635.12,365,79.454,425.6,99.52
465.39,187.46,160.29,191.85,14.04,1099.67,782.08,365,95.0,434.37,110.48
174.51,180.44,171.34,185.48,18.19,906.96,790.86,7,32.787,193.5,85.91
179.79,9.43,192.12,197.96,19.04,1105.5,791.52,7,16.998,187.79,77.52
529.47,4.94,97.96,209.47,4.7,1062.92,900.27,90,68.633,459.88,79.56
438.49,100.85,164.61,238.07,0.97,1123.52,560.02,7,48.033,384.62,68.69
323.35,16.85,141.62,187.82,15.54,1075.2,903.05,28,35.893,303.72,84.49
436.97,25.04,5.47,182.31,27.14,978.29,742.31,14,42.72,416.7,122.25
255.95,199.92,170.97,212.12,2.29,1058.78,816.7,7,38.582,238.63,57.27
128.49,196.63,135.89,204.2,26.0,982.35,911.06,90,38.064,167.3,99.62
437.31,196.63,98.25,204.06,2.27,1116.65,857.09,56,77.705,391.08,75.85
425.84,92.28,60.97,227.74,7.72,1132.56,573.5,14,52.74,381.99,79.29
171.64,203.94,23.84,202.1,11.18,890.49,669.25,1,13.878,178.53,63.77
282.38,172.97,123.0,137.18,8.8,916.71,926.2,90,58.928,268.68,72.92
448.35,21.76,36.34,122.4,13.47,860.86,906.72,1,41.061,404.89,90.44
255.73,205.54,128.76,220.7,21.15,965.48,611.94,14,45.231,268.18,103.11
269.32,134.12,43.41,233.65,4.88,1128.26,782.59,14,20.542,246.99,55.65
177.23,28.0,8.43,188.89,15.78,932.63,584.84,365,4.201,178.02,63.02
155.69,16.72,103.78,236.81,6.83,1119.72,839.81,3,3.0,146.51,41.08
383.67,60.61,164.99,191.83,22.72,953.96,736.0,1,30.528,370.02,113.69
491.59,174.18,86.64,132.66,23.58,852.35,898.64,180,91.765,469.5,133.6
502.39,67.18,25.02,193.48,12.25,1095.74,831.29,180,73.055,451.84,96.62
308.8,3.77,96.34,224.45,3.53,904.49,887.4,3,15.333,270.33,50.01
411.48,94.93,63.48,220.18,25.9,1014.17,657.39,56,57.271,399.11,123.3
452.79,216.55,85.74,143.46,10.48,1129.7,644.38,56,74.701,418.5,99.12
505.5,64.75,107.92,187.08,6.06,1092.3,799.6,180,78.178,446.05,84.65
232.78,183.02,42.88,174.13,18.45,1044.58,732.78,14,34.909,241.06,88.6
341.98,102.91,31.7,224.67,4.64,819.83,654.14,14,28.745,305.94,61.11
432.76,192.66,190.31,200.34,13.55,1038.89,591.46,28,66.405,406.81,106.89
413.09,11.76,164.29,201.0,27.02,987.86,825.87,180,64.549,398.47,124.51
521.06,214.93,107.23,135.24,10.42,961.28,761.08,3,64.963,476.77,107.92
313.8,11.06,132.74,153.79,29.16,1031.33,600.72,7,34.253,316.81,116.63
531.02,182.68,72.62,202.93,11.31,1016.54,674.05,3,58.086,483.69,107.68
457.72,56.79,173.5,221.97,28.9,1103.35,831.21,7,56.556,442.75,138.1
505.35,147.28,94.48,227.6,13.07,941.12,929.07,180,88.401,462.66,107.4
183.96,21.36,35.74,155.79,9.64,837.98,610.32,90,11.374,173.99,49.1
429.27,193.65,33.15,202.98,16.68,964.26,712.75,7,51.262,405.79,108.1
175.01,104.59,119.82,175.21,6.34,931.66,719.86,365,32.205,168.61,48.96
309.57,117.44,120.56,162.42,21.57,915.22,740.66,14,44.753,308.27,104.11
206.27,196.34,167.36,233.92,26.78,898.89,809.63,180,59.021,235.27,112.14
233.22,208.73,7.12,225.15,20.94,912.77,578.89,1,13.68,246.49,95.23
184.86,108.55,150.2,185.4,25.7,1005.06,576.15,180,40.546,208.85,100.03
485.78,194.5,115.32,238.65,20.67,928.62,587.51,14,68.344,461.91,128.2
348.09,179.61,73.94,168.76,23.0,1114.88,762.55,56,56.682,346.73,114.81
259.85,19.85,16.51,182.77,21.94,999.03,718.94,3,10.292,257.7,88.08
163.33,17.46,26.83,204.2,25.04,1020.29,839.12,3,3.0,180.65,84.49
202.96,12.07,153.11,158.19,3.01,968.73,759.91,1,12.038,181.24,38.85
167.66,199.11,48.23,136.57,17.99,978.22,612.46,3,27.164,186.2,80.97
216.87,70.49,138.85,126.53,19.98,967.86,649.34,7,25.363,224.01,86.45
528.79,173.15,53.39,162.11,11.39,885.02,743.65,90,77.035,480.88,106.18
471.17,106.25,142.07,127.6,21.38,1062.24,908.94,14,70.577,444.98,123.11
366.34,13.75,8.79,131.29,27.65,1113.45,911.63,7,31.916,356.77,114.41
225.18,62.6,66.95,166.21,16.46,900.15,551.21,180,36.394,223.46,75.23
338.03,143.0,180.5,169.54,0.91,862.74,611.17,14,47.431,302.41,60.08
144.04,21.75,47.75,230.2,16.41,1135.24,624.14,180,3.0,151.16,61.74
370.81,26.28,32.26,209.32,12.69,840.0,719.5,28,35.568,337.98,79.36
257.71,1.74,160.47,140.01,25.7,1073.48,942.15,90,40.694,263.51,101.73
386.83,31.28,52.75,181.65,13.39,1037.56,826.14,90,50.412,353.47,84.19
391.51,79.68,112.14,148.35,7.95,852.24,738.1,1,28.27,353.33,76.93
227.06,72.77,46.12,198.15,21.49,978.37,855.84,56,23.995,233.4,87.91
463.71,204.59,197.91,130.74,25.98,870.66,887.33,28,85.873,454.01,142.84
163.01,187.1,104.93,143.54,28.7,873.93,755.15,3,31.351,199.67,108.6
389.19,47.46,157.25,236.05,6.57,1005.16,747.56,28,51.702,347.8,72.74
251.93,159.92,152.7,155.81,26.09,1073.16,733.98,14,42.509,270.13,112.75
424.5,122.04,126.04,121.76,3.13,840.41,884.77,14,56.619,376.89,72.34
446.13,99.56,75.84,165.33,27.48,1022.54,774.05,3,50.554,431.66,132.24
151.53,126.22,96.29,186.85,10.73,1005.97,789.41,180,30.403,156.73,57.7
420.05,104.36,49.65,202.41,21.0,888.2,869.03,14,43.459,398.94,112.19
186.61,155.75,192.9,182.82,3.18,856.62,804.88,3,35.74,178.47,48.97
486.75,29.34,15.24,209.6,12.05,1033.72,560.52,90,55.724,435.38,91.21
321.82,130.84,74.8,237.15,1.34,845.1,795.17,7,33.242,286.34,54.11
232.11,191.59,2.49,128.03,24.52,948.19,742.41,365,54.423,249.99,102.67
156.67,132.07,165.67,220.52,17.13,933.72,682.54,365,38.493,173.14,77.5
223.12,54.28,84.13,165.4,26.08,1043.58,798.97,28,34.105,236.86,99.13
229.85,71.33,49.98,212.41,1.98,1063.41,686.96,365,31.82,204.54,39.53
148.71,20.59,172.93,122.97,26.28,1078.22,928.18,180,36.184,173.35,91.91
120.38,127.39,196.31,232.76,1.87,1070.99,834.59,180,31.592,118.16,35.89
400.11,190.06,150.52,175.42,14.78,1060.47,897.45,7,50.83,380.06,104.29
443.11,91.18,187.65,194.94,4.74,940.0,817.05,1,35.984,394.36,78.91
444.35,43.41,158.02,196.28,16.85,930.55,666.76,365,77.645,410.85,104.79
407.26,145.33,186.26,198.83,9.11,1112.33,796.15,7,55.411,374.65,89.27
141.83,41.28,145.73,182.2,24.13,966.0,715.5,180,20.897,164.96,86.05
202.19,217.42,103.86,215.17,27.59,811.96,905.98,3,30.466,233.31,112.62
403.54,170.1,191.28,223.38,10.04,976.67,885.38,1,43.592,374.8,93.08
233.47,191.05,1.17,133.11,4.78,1143.93,778.22,1,26.38,219.49,53.39
232.7,207.47,87.51,208.93,7.12,871.19,693.97,28,39.695,225.46,63.75
483.19,120.06,158.43,199.77,8.52,1071.45,710.05,1,39.271,435.91,94.02
505.69,44.24,94.09,221.46,20.14,859.1,946.63,28,63.157,467.04,117.9
200.03,134.24,161.18,202.06,17.46,1097.1,552.76,3,30.935,210.59,83.51
342.89,168.83,74.44,231.33,4.42,1057.45,937.48,14,46.021,311.84,67.0
234.61,71.65,161.57,123.2,19.22,813.29,631.59,90,41.875,238.42,87.68
476.19,143.52,69.84,124.45,20.28,1083.89,922.51,90,79.235,448.66,120.69
257.52,190.14,164.63,131.28,8.46,1081.88,686.35,28,50.867,249.03,71.95
204.46,45.35,36.7,121.2,24.8,906.8,791.33,180,23.32,217.39,91.19
319.85,202.21,3.17,208.18,23.39,1026.67,767.9,90,55.354,323.51,111.14
412.18,66.98,70.44,189.9,17.27,1122.1,713.55,14,47.347,384.09,100.14
344.2,82.16,25.6,205.38,29.66,1047.19,614.17,56,50.492,346.28,122.22
200.35,9.46,7.76,131.47,28.11,1091.81,715.41,90,11.438,216.1,95.3
191.18,62.9,136.69,173.36,20.03,1033.63,755.27,180,33.976,201.69,82.89
181.36,17.1,80.7,128.53,17.0,1127.93,601.88,28,21.66,184.17,68.69
319.36,145.85,2.36,143.58,23.26,846.13,624.33,3,26.847,318.92,106.76
285.66,201.99,138.55,195.68,18.7,1145.54,816.14,56,52.111,289.64,100.71
151.52,182.56,109.13,193.7,26.13,808.49,568.39,56,36.228,185.55,100.64
163.59,165.57,82.89,217.07,13.65,979.6,781.64,14,17.151,174.15,68.67
417.17,172.62,153.87,128.18,9.41,1027.82,866.67,14,63.164,384.82,91.83
524.7,118.92,119.66,212.91,19.2,974.23,831.2,180,95.0,487.43,124.08
388.74,161.17,106.09,156.1,7.0,909.73,794.2,56,66.394,355.04,79.68
152.34,47.34,191.2,173.99,17.09,895.21,755.83,28,21.264,163.97,71.96
455.8,95.36,27.7,162.54,0.32,981.4,848.57,3,36.663,395.17,63.28
363.79,203.1,195.13,132.81,8.22,929.46,687.78,1,43.154,340.5,86.24
248.34,43.59,47.39,134.9,9.46,817.68,684.45,1,16.013,230.23,58.41
237.01,213.11,109.29,228.84,10.58,852.39,751.7,3,23.579,235.49,74.19
536.48,48.91,95.09,160.04,8.11,1060.75,604.31,365,90.352,474.32,91.89
462.28,195.88,7.61,205.65,15.41,832.77,906.03,14,56.781,431.46,108.02
449.07,207.61,53.39,134.86,22.52,962.81,815.78,3,51.689,433.33,126.85
335.69,153.98,178.18,134.01,0.19,919.03,874.71,365,79.556,299.98,58.66
383.44,95.17,100.61,125.98,21.98,932.68,910.39,14,48.727,369.76,111.64
381.03,28.33,161.75,180.58,8.98,900.49,733.91,90,55.489,343.46,76.62
401.25,99.75,59.01,123.65,3.8,902.86,634.62,3,39.737,355.3,66.99
443.01,148.8,84.3,121.7,24.29,1027.5,833.0,7,59.413,427.53,127.69
216.11,137.52,37.75,170.28,19.51,989.13,687.88,28,26.696,225.29,85.84
169.32,69.82,10.2,179.11,27.79,1132.6,576.03,365,12.712,193.48,95.08
499.02,106.02,109.14,185.35,3.49,819.87,807.07,365,91.963,439.37,80.41
367.96,146.12,11.98,150.23,17.5,944.57,750.56,14,45.559,351.24,98.62
335.26,154.76,46.24,134.67,5.74,1043.69,577.55,180,59.168,305.92,67.27
377.16,140.13,149.06,134.27,4.13,831.67,615.59,14,54.646,339.99,71.37
407.59,168.72,14.77,174.6,3.49,1022.45,865.67,180,66.317,364.15,70.05
411.73,121.75,42.72,121.33,1.97,813.66,759.63,7,48.896,362.49,64.55
