 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
Superior high-temperature properties and defomation-induced planar faults in a novel L12-strengthened high-entropy alloy,Nb4 HEA,16,32,32,0,16,,0,0,0,0,4,0.02 wt.%,0,0,Yes,1200,2 hr,Yes,20 °C (cold rolling at room temperature),66,Yes,1200,1.5 min,1,800,24 hr (optimal),Face‑centered cubic (FCC),67.9,"D019 phase (ordered, needle‑shaped, closest match: HCP)",34.5 ± 14.1 nm,32.1,,,,,,,,,,,,30,,,,,,,,,,
Superior high-temperature properties and defomation-induced planar faults in a novel L12-strengthened high-entropy alloy,Al2Nb4 HEA,15.7,31.3,31.3,0,15.7,2,0,0,0,0,4,0.02 wt.%,0,0,Yes,1200,2 hr,Yes,20 °C (cold rolling at room temperature),66,Yes,1200,1.5 min,1,800,24 hr (optimal),Face‑centered cubic (FCC) → Code 1,66,Needle‑shaped precipitates identified as the D019 phase (classified as HCP → Code 10),34.5,11.6,Cuboidal precipitates identified as the L12 phase (directly assigned → Code 1),15.1,22,,,,,,,,,30,,,,,,,,,,
Superior high-temperature properties and defomation-induced planar faults in a novel L12-strengthened high-entropy alloy,Al4Nb4 HEA,15.3,30.7,30.7,0,15.3,4,0,0,0,0,4,0.02 wt.%,0,0,Yes,1200,2 hr,Yes,20 °C (cold rolling at room temperature),66,Yes,1200,1.5 min,1,800,24 hr (optimal),Face‑centered cubic (FCC) [classified as “1” in the scheme],49,L12 phase [classified as “1”],≈39.0 nm (±9.7 nm),51,,,,,,,1232,,850,,440,30% elongation,,760,720,,,,,,,
Tailoring nanoprecipitates for ultra-strong high-entropy alloys via machine learning and prestrain aging,Recrystallized HEA,28,32,28,0,3,3,6,0,0,0,0,0,0,0,Yes,1200,2 hr,Yes,20,80,Yes,1000,1 min,0,,,FCC,100,,,0,,,0,,,0,1060,,670,,,39,,,,,,,,,,
Tailoring nanoprecipitates for ultra-strong high-entropy alloys via machine learning and prestrain aging,As-Aged Sample,28,32,28,0,3,3,6,0,0,0,0,0,0,0,0,,,Primary cold rolling,20,80,1,1000,1,1,700,60 minutes,Face‐centered cubic (FCC),50,Ordered δ′ phase with an L12 superlattice (classification code: 1),30 ± 6 nm,50,,,,,,,1340,,1030,,,21% elongation,,,,,,,,,,
Tailoring nanoprecipitates for ultra-strong high-entropy alloys via machine learning and prestrain aging,Prestrain-Aged Sample,28,32,28,0,3,3,6,0,0,0,0,0,0,0,0,,,Primary cold rolling,20,80,1,1000,1,1,700,60 minutes,Face‐centered cubic (FCC),48,Ordered δ′ phase with an L12 superlattice (classification code: 1),19 ± 4 nm,52,,,,,,,1650,,1310,,,15% elongation,,,,,,,,,,
The microstructure and mechaincal properties of novel Al-Cr-Fe-Mn-Ni high-entropy alloys with trimodal distributions of coherent B2 precipitates,A5 (Al₀.₅CrFeMnNi),22.22,22.22,0,22.22,22.22,11.11,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,2,19.2,3,580,15.3,3,530,47.8,3,22,17.6,,,,1091,353,,>45%,,,,,,,,,
The microstructure and mechaincal properties of novel Al-Cr-Fe-Mn-Ni high-entropy alloys with trimodal distributions of coherent B2 precipitates,A6 (Al₀.₆CrFeMnNi),21.74,21.74,0,21.74,21.74,13.04,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,2,18.9,3,510,26.8,3,485,39.9,3,21,14.4,,,,1125-1130,,,>45%,,,,,,,,,
The microstructure and mechaincal properties of novel Al-Cr-Fe-Mn-Ni high-entropy alloys with trimodal distributions of coherent B2 precipitates,A7 (Al₀.₇CrFeMnNi),21.28,21.28,0,21.28,21.28,14.89,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,2,22.5,3,480,33,3,450,33.6,3,20,10.9,,,,1160,,,>45%,,,,,,,,,
The microstructure and mechaincal properties of novel Al-Cr-Fe-Mn-Ni high-entropy alloys with trimodal distributions of coherent B2 precipitates,A8 (Al₀.₈CrFeMnNi),20.83,20.83,0,20.83,20.83,16.67,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,2,16.5,3,395,38,3,415,34.7,3,17,10.8,,,,1200,386,,>45%,,,,,,,,,
Ultrahigh-strength and ductile superlattice alloys with nanoscale disordered interfaces,complete (bulk) alloy,8.8,43.9,22.4,0,0,10.7,11.7,0,0,0,0,2.5,0,0,0,,,0,,,0,,,0,,,L12 (classification code 3),99.87,Face-centered cubic (FCC; classification code 8),5,0.13,,,,,,,1611 ± 2,,1040 ± 61,,417 ± 8 HV,25 ± 1%,,800,,,,,,,,
A Novel L12-strengthened multicomponent Co-rich high-entropy alloy with both high y'-solvus temperature and superior high-temperature strength,Multicomponent Co-rich high-entropy alloy - Recrystallized,0,28.8,43.1,0,10.2,10,2.1,0,0,0,1.5,0,2.2,2.1,Yes,1200,2,Yes,20,50,Yes,1200,2,0,,,γ phase with a face-centered cubic (FCC) crystal structure (Classification: 1 — FCC),100,,,,,,,,,,,,,,310 ± 6 HV,,,,,,,,397,3008,,0.868018617
A Novel L12-strengthened multicomponent Co-rich high-entropy alloy with both high y'-solvus temperature and superior high-temperature strength,Multicomponent Co-rich high-entropy alloy - Aged,0,28.8,43.1,0,10.2,10,2.1,0,0,0,1.5,0,2.2,2.1,Yes,1200,2,Yes,20,50,Yes,1200,2,Yes,800,72h,γ phase with a face-centered cubic (FCC) crystal structure (Classification: 1 — FCC),,γ′ phase with L1_2 ordering,"Cuboidal, high-density",,,,,,,,,,,,407 ± 13 HV,>20%,,"800, 900","corresponding 755, 664",,,,,,,
Co‑introduction of precipitate hardening and TRIP in a TWIP high‑entropy alloy using friction stir alloying,Material 2 - Ti–alloyed Ni–Si5–HEA FSA,41.3,9.3,0,27.3,14.3,0,3.5,0,4.3,0,0,0,0,0,0,,,0,,,0,,,0,,,γ phase (face‐centered cubic),100,,,,,,,,,,725,,554,,,,,,,,,,,,,
Co‑introduction of precipitate hardening and TRIP in a TWIP high‑entropy alloy using friction stir alloying,Material 2 - Ti–alloyed Ni–Si5–HEA FSA + Anneal,41.3,9.3,0,27.3,14.3,0,3.5,0,4.3,0,0,0,0,0,0,,,0,,,0,,,1,900,4 hr,γ phase (face‐centered cubic),79,Ni3Ti intermetallic,~5 nm,minority,ε phase (HCP),,21,,,,958,,736,,,,,,,,,,,,,
Co‑introduction of precipitate hardening and TRIP in a TWIP high‑entropy alloy using friction stir alloying,Material 1 - Base Ni–Si5–HEA as-cast,42.8,9.6,0,28.3,14.8,0,0,0,4.5,0,0,0,0,0,0,,,0,,,0,,,0,,,γ phase (face‐centered cubic),100,,,,,,,,,,367,,288,,,6,,,,,,,,,,
Co‑introduction of precipitate hardening and TRIP in a TWIP high‑entropy alloy using friction stir alloying,Material 1 - Base Ni–Si5–HEA FSP,42.8,9.6,0,28.3,14.8,0,0,0,4.5,0,0,0,0,0,0,,,0,,,0,,,0,,,γ phase (face‐centered cubic),100,,,,,,,,,,645,,451,,,43,,,,,,,,,,
Control of nanoscale precipitation and elimination of intermediatetemperature embrittlement in multicomponent high-entropy alloys,Al6Ti6 HEA - As-Solutionized,13,29.9,30,0,15,6,6,0,0,0,0,0.1,0,0,1,1165,2 h,1,20 °C (cold rolling at ambient temperature),~65%,1,1165,2 min,0,,,Face-Centered Cubic (FCC) (Code 1),100% - 27% - 1.19% = 71.81%,"L12 ordered phase – identified as (Ni,Co,Fe,Cr)₃(Ti,Al) (Code 1)",12,24,,,,,,,,,,,,,,,,,,,,,,
Control of nanoscale precipitation and elimination of intermediatetemperature embrittlement in multicomponent high-entropy alloys,"Al6Ti6 HEA - One-Step Aged (800 °C, 720 h)",13,29.9,30,0,15,6,6,0,0,0,0,0.1,0,0,1,1165,2 h,1,20 °C (cold rolling at ambient temperature),~65%,1,1165,2 min,1,800 °C,"720 h(corresponding to the following phases and properties, but paper said whole experiment is based on time 24 to 720h)",Face-Centered Cubic (FCC) (Code 1),100% - 37% - 0.87% = 62.13%,"L12 ordered phase – identified as (Ni,Co,Fe,Cr)₃(Ti,Al) (Code 1)",93.7,37,"Heusler phase (L21‑type, BCC)",,0.87,,,,,,,,,,,700,,3,,,,,,
Control of nanoscale precipitation and elimination of intermediatetemperature embrittlement in multicomponent high-entropy alloys,"Al6Ti6 HEA - One-Step Aged (900 °C, 720 h)",13,29.9,30,0,15,6,6,0,0,0,0,0.1,0,0,1,1165,2 h,1,20 °C (cold rolling at ambient temperature),~65%,1,1165,2 min,1,900 °C,"720 h(corresponding to the following phases and properties, but paper said whole experiment is based on time 24 to 720h)",Face-Centered Cubic (FCC) (Code 1),100% - 27% - 1.19% = 71.81%,"L12 ordered phase – identified as (Ni,Co,Fe,Cr)₃(Ti,Al) (Code 1)",308.3,27,"Heusler phase (L21‑type, BCC)",,1.19,,,,,,,,,,,700,,,,,,,,
Control of nanoscale precipitation and elimination of intermediatetemperature embrittlement in multicomponent high-entropy alloys,"Al6Ti6 HEA - One-Step Aged (1000 °C, 720 h)",13,29.9,30,0,15,6,6,0,0,0,0,0.1,0,0,1,1165,2 h,1,20 °C (cold rolling at ambient temperature),~65%,1,1165,2 min,1,1000 °C,"720 h(corresponding to the following phases and properties, but paper said whole experiment is based on time 24 to 720h)",Face-Centered Cubic (FCC) (Code 1),83,"L12 ordered phase – identified as (Ni,Co,Fe,Cr)₃(Ti,Al) (Code 1)",780.4,17,,,,,,,,,,,,,,700,,,,,,,,
Control of nanoscale precipitation and elimination of intermediatetemperature embrittlement in multicomponent high-entropy alloys,Al6Ti6 HEA - Duplex Aged (1000 °C for 4h + 800 °C for 24h),13,29.9,30,0,15,6,6,0,0,0,0,0.1,0,0,1,1165,2 h,1,20 °C (cold rolling at ambient temperature),~65%,1,1165,2 min,1,1000 °C for 4 h then 800 °C for 24 h,4 h + 24 h,Face-Centered Cubic (FCC) (Code 1),,"L12 ordered phase – identified as (Ni,Co,Fe,Cr)₃(Ti,Al) (Code 1)","145+- 30, 36+-5",,,,,,,,,,,,,,,700,1GPa,,,,,,,
Design of D022 superlattice with superior strengthening effect in high entropy alloys,Ni2CoCrFeNb0.15_SolidSolution,19.4,38.8,19.4,0,19.4,0,0,0,0,0,2.9,0,0,0,Yes,1200,2 h,Cold Rolling,20,Approximately 70% thickness reduction (final thickness ~1.5 mm),Yes,1200,4 min,0,,,FCC,100,,,,,,,,,,710,,284,,,71,,,,,,,,,,
Design of D022 superlattice with superior strengthening effect in high entropy alloys,Ni2CoCrFeNb0.15_80h_Aged,19.4,38.8,19.4,0,19.4,0,0,0,0,0,2.9,0,0,0,Yes,1200,2 h,Cold Rolling,20,Approximately 70% thickness reduction (final thickness ~1.5 mm),Yes,1200,4 min,1,650,80 h,FCC,93,γ″,15 nm,7,,,,,,,1230,,954,,,27,,,,,,,,,,
Design of D022 superlattice with superior strengthening effect in high entropy alloys,Ni2CoCrFeNb0.15_120h_Aged,19.4,38.8,19.4,0,19.4,0,0,0,0,0,2.9,0,0,0,Yes,1200,2 h,Cold Rolling,20,Approximately 70% thickness reduction (final thickness ~1.5 mm),Yes,1200,4 min,1,650,120 h,FCC,93,γ″,35 nm,7,,,,δ(author's guess),,,,,,,,,,,,,,,,,,
Development of high-strength Co-free high-entropy alloys hardened by nanosized precipitates,A1,37.5,37.5,0,10,15,0,0,0,0,0,0,0,0,0,Yes,1150,2 h,Yes,20,66,Yes,1150,2 min,0,,,"1 (i.e. face‑centered cubic, FCC)",100,,,,,,,,,,Approximately 270-310 MPa,,Approximately mid-to‑low 300 MPa,,,Ductile; fracture surfaces exhibit ductile dimples (exact value not provided),,,,,,,,,,
Development of high-strength Co-free high-entropy alloys hardened by nanosized precipitates,A2,33.5,33.5,0,10,15,5,3,0,0,0,0,0,0,0,Yes,1150,2 h,Yes,20,66,Yes,1150,2 min,1,800,1 h,1 [Face‑Centered Cubic (γ matrix)],,"1 [L12 structure, i.e. the coherent nano‑sized γ′ precipitates present in the grain interior]",Approximately 10–20 nm,,5 [L21 phase; in A2 the lower Ti/Al ratio favors the appearance of L21 at grain boundaries],"Larger than the interior γ′ precipitates – exact size not provided (estimate might be on the order of tens of nanometers, e.g. ~50–100 nm)",,,,,1076,,,,,Over 22%,,,,,,,,,,
Development of high-strength Co-free high-entropy alloys hardened by nanosized precipitates,A3,33.5,33.5,0,10,15,4,4,0,0,0,0,0,0,0,Yes,1150,2 h,Yes,20,66,Yes,1150,2 min,1,800,1 h,"γ phase (Face-centered cubic, classification: 1)",,"γ′ phase (L12-ordered, classification: 1)",10–20 nm,,η phase (classification: 4),larger than nano-sized γ′ precipitates (exact size ),,L21 phase (classification: 5),larger than nano-sized γ′ precipitates (exact size ),,,,,,,over 22%,,,,,,,,,,
Development of high-strength Co-free high-entropy alloys hardened by nanosized precipitates,A4,33.5,33.5,0,10,15,3,5,0,0,0,0,0,0,0,Yes,1150,2 h,Yes,20,66,Yes,1150,2 min,1,800,1 h,face‑centered cubic (FCC) → Code 1,,γ′ phase with L12 ordering → Code 1,~10–20 nm,,η phase → Code 4,,,L21 phase → Code 5,,,1247,,,,,Over 20%,,,,,,,,,,
Deviation from high-entropy configurations in the atomic distributions of a multi-principal-element alloy,Al1.3CoCrCuFeNi (Above 1315°C),15.9,15.9,15.9,0,15.9,20.6,0,15.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Liquid,100,,,,,,,,,,,,,,,,,Above 1315°C,,,,,,,,
Deviation from high-entropy configurations in the atomic distributions of a multi-principal-element alloy,"Al1.3CoCrCuFeNi (1,230–1,315°C)",15.9,15.9,15.9,0,15.9,20.6,0,15.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Liquid (Cu-rich),Majority (not explicitly quantified),BCC,,,,,,,,,,,,,,,,"1,230–1,315°C",,,,,,,,
Deviation from high-entropy configurations in the atomic distributions of a multi-principal-element alloy,"Al1.3CoCrCuFeNi (1,080–1,230°C)",15.9,15.9,15.9,0,15.9,20.6,0,15.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,hB2i,95,Liquid (Cu-rich interdendritic),,5,,,,,,,,,,,,,,"1,080–1,230°C",,,,,,,,
Deviation from high-entropy configurations in the atomic distributions of a multi-principal-element alloy,"Al1.3CoCrCuFeNi (600–1,080°C)",15.9,15.9,15.9,0,15.9,20.6,0,15.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,hB2i,85,"FCC (rod‐shaped, Cu‐rich)",,10,"FCC (interdendritic, Cu‐rich)",,5,,,,,,,,,,,"600–1,080°C",,,,,,,,
Deviation from high-entropy configurations in the atomic distributions of a multi-principal-element alloy,Al1.3CoCrCuFeNi (Room Temperature – 600°C),15.9,15.9,15.9,0,15.9,20.6,0,15.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Spinodal BCC/B2-ordered,84,"FCC (rods, Cu-rich)",,10,"FCC (interdendritic, Cu-rich)",,5,"FCC (nanoprecipitates, Cu-rich)",,1,,,,,,,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0 (As‐cast),25,25,25,0,25,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,472.4,,155,,,58.9,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0.1 (As‐cast),24.39,24.39,24.39,0,24.39,0,0,0,0,0,0,0,2.44,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,479,,198.8,,,51.1,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0.2 (As‐cast),23.81,23.81,23.81,0,23.81,0,0,0,0,0,0,0,4.76,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,589.6,,254.7,,,55.1,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0.3 (As‐cast),23.26,23.26,23.26,0,23.26,0,0,0,0,0,0,0,6.96,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) [Classification: 1],,sigma (s phase) [Classification: 6],,,,,,,,,709.7,,305.3,,,49.3,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0 (Powder Metallurgy),23.49,25.31,25.51,0,25.31,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) – Classification: 1,100,,,,,,,,,,,,,,,,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0.11 (Powder Metallurgy),24.03,23.89,24.87,0,24.43,0,0,0,0,0,0,0,2.78,0,0,,,0,,,0,,,0,,,"Face‐centered cubic (FCC), classified as 1",100,,,,,,,,,,,,,,,,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0.18 (Powder Metallurgy),25.7,23.23,22.74,0,23.99,0,0,0,0,0,0,0,4.34,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,,,,,,,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,Mo0.23 (Powder Metallurgy),25.05,23.12,22.33,0,23.96,0,0,0,0,0,0,0,5.54,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,,,,,,,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,"Mo0.3 (Cold‐Rolled & Annealed, 1123K/1h)",23.26,23.26,23.26,0,23.26,0,0,0,0,0,0,0,6.96,0,0,,,1,20,60,0,,,1,1123,1,Face‐centered cubic (FCC) [Classification: 1],,sigma (s phase) [Classification: 6],,,m phase [Classification: 9],,,,,,1186.5,,815.5,,,18.9,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,"Mo0.3 (Cold‐Rolled & Annealed, 1173K/5h)",23.26,23.26,23.26,0,23.26,0,0,0,0,0,0,0,6.96,0,0,,,1,20,60,0,,,1,1173,5,Face‐centered cubic (FCC) [Classification: 1],,sigma (s phase) [Classification: 6],,,m phase [Classification: 9],,,,,,1042,,646.7,,,32.5,,,,,,,,,,
Ductile CoCrFeNiMox high entropy alloys strengthened by hard intermetallic phases,"Mo0.3 (Cold‐Rolled & Annealed, 1173K/5h+973K/5h)",23.26,23.26,23.26,0,23.26,0,0,0,0,0,0,0,6.96,0,0,,,1,20,60,0,,,1,1173 K for 5 h + 973 K for 5 h,5 h + 5 h,Face‐centered cubic (FCC) [Classification: 1],,,,,,,,,,,1066.6,,683.7,,,30.4,,,,,,,,,,
Fully Recrystallized Al0.5CoCrFeNi High-Entropy alloy Strengthened by nanoscale precipitates,Al0.5CoCrFeNi alloy (Recrystallized),22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1 (Yes),20,70% thickness reduction,1 (Yes),1200,60 min (1 h),0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,783,,365,,,33.7,,,,,,,,,,
Fully Recrystallized Al0.5CoCrFeNi High-Entropy alloy Strengthened by nanoscale precipitates,Al0.5CoCrFeNi alloy (650-4),22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1 (Yes),20,70% thickness reduction,1 (Yes),1200,60 min (1 h),1,650,4 h,Face‐centered cubic (FCC) [Classification: 1],,Ordered L12 phase [Classification: L12 = 1],,,Lath‐like BCC phase [Classification: BCC = 7],,,,,,1061,,725,,,49.9,,,,,,,,,,
Fully Recrystallized Al0.5CoCrFeNi High-Entropy alloy Strengthened by nanoscale precipitates,Al0.5CoCrFeNi alloy (650-140),22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1 (Yes),20,70% thickness reduction,1 (Yes),1200,60 min (1 h),1,650,140 h,Face‐centered cubic (FCC) [Classification: 1],,Ordered L12 phase [Classification: L12 = 1],,,Lath‐like BCC phase [Classification: BCC = 7],,,,,,1283,,980,,,25.6,,,,,,,,,,
Heterogeneous precipitation behavior and stacking-fault-mediated deformation in a CoCrNi-based medium-entropy alloy,Al3Ti3 MEA (Solid Solution),0,31.3,31.3,0,31.3,3,3,0,0,0,0,0,0,0,Solution treatment,1200,2,0,,,0,,,0,,,"Face-centered cubic (fcc) phase (matrix), Classified as: 1",100% (single-phase),,,,,,,,,,,,334,,,,,,,,,,,,,
Heterogeneous precipitation behavior and stacking-fault-mediated deformation in a CoCrNi-based medium-entropy alloy,Al3Ti3 MEA (Precipitation Hardened),0,31.3,31.3,0,31.3,3,3,0,0,0,0,0,0,0,Solution treatment,1200,2,Cold rolling,20,66,Annealing,1160,3,1,800,2,"γ phase (matrix), Face‑centered cubic (fcc), Classified as: 1",,"g₀ precipitates (ordered phase) with L1₂ structure, Classified as: 1","CP region: ~10 nm; DP region: heterogeneous, including lamellar-like structures and short-rods >10 nm",CP region: ~11 ± 6%; DP colonies: ~60% of the microstructure,,,,,,,1300,,750,,,45,,,,,,,,,,
Heterogeneous precipitation behavior and stacking-fault-mediated deformation in a CoCrNi-based medium-entropy alloy,CoCrNi MEA,0,33.3,33.3,0,33.3,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face-centered cubic (fcc) (Code: 1),100,,,,,,,,,,900,,430,,,,,,,,,,,,,
Microstructural evolution and mechanical properties of Al0.3CoCrFeNiSix high-entropy allows containing coherent nanometer-scalescaled precipitates,Si0,23.3,23.3,23.3,0,23.3,7,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,FCC,100,,,,,,,,,,419,,180,187,143,63,>60,,,,,,,,,
Microstructural evolution and mechanical properties of Al0.3CoCrFeNiSix high-entropy allows containing coherent nanometer-scalescaled precipitates,Si0.2,22.2,22.2,22.2,0,22.2,6.7,0,0,4.4,0,0,0,0,0,0,,,0,,,0,,,0,,,FCC,,BCC/B2,56±11,46%,,,,,,,671,,293,299,,56,>60,,,,,,,,,
Microstructural evolution and mechanical properties of Al0.3CoCrFeNiSix high-entropy allows containing coherent nanometer-scalescaled precipitates,Si0.5,20.8,20.8,20.8,0,20.8,6.3,0,0,10.4,0,0,0,0,0,0,,,0,,,0,,,0,,,BCC/B2,,FCC,63±15,52%,,,,,,,,1369,,1039,,,24.3,,,,,,,,,
Microstructural evolution and mechanical properties of Al0.3CoCrFeNiSix high-entropy allows containing coherent nanometer-scalescaled precipitates,Si0.8,19.6,19.6,19.6,0,19.6,5.9,0,0,15.7,0,0,0,0,0,0,,,0,,,0,,,0,,,B2 (ordered BCC),,BCC (Cr-rich spherical nanoparticles),65 ± 10 nm,50%,FCC (side plates),Plate-like (several hundred nm),,,,,,1820,,1555,,,12.6,,,,,,,,,
Microstructural evolution and mechanical properties of Al0.3CoCrFeNiSix high-entropy allows containing coherent nanometer-scalescaled precipitates,Si1.0,18.9,18.9,18.9,0,18.9,5.7,0,0,18.9,0,0,0,0,0,0,,,0,,,0,,,0,,,B2 (ordered),,BCC (Cr-rich spherical particles),60,,FCC (side plates),,,,,,,1360,,,826,,6.7,,,,,,,,,
"Morphology, structure and composition of precipitates in Al0.3CoCrCu0.5FeNi high-entropy alloy",Al0.3CoCrCu0.5FeNi alloy,20.8,20.8,20.8,0,20.8,6.3,0,10.4,0,0,0,0,0,0,1,1100 °C,24 hr,0,,,0,,,0,,,fcc (lattice parameter 3.588 Å; classified as Face‐centered cubic → 1),,"L1₂ (plate-like; biphasic with a Cu-rich fcc portion and a (Ni, Cu)₃Al portion; classified as 1)",34.3,,L1₂ (spherical; classified as 1),nano-sized,,,,,,,,,,,,,,,,,,,,
Nano-precipitates strengthened non-equiatomic medium-entropy alloy with outstanding tensile properties,Base Alloy MEA,0,50,25,0,25,0,0,0,0,0,0,0,0,0,Yes,1523 K ≈ 1250 °C,4 hr,Yes,20 °C (Cold rolling assumed room temperature),80,Yes,1473 K ≈ 1200 °C,10 min,0,,,Face-centered cubic (FCC),100,,,,,,,,,,620,,180,,,68,,,,,,,,,,
Nano-precipitates strengthened non-equiatomic medium-entropy alloy with outstanding tensile properties,Novel Non‐Equiatomic (Al4Ti4) MEA,0,46,23,0,23,4,4,0,0,0,0,0,0,0,Yes,1523 K ≈ 1250 °C,4 hr,Yes,20 °C (Cold rolling assumed room temperature),80,Yes,1473 K ≈ 1200 °C,10 min,1,973 K ≈ 700 °C,20 hr,FCC (classification code: 1),69,γ0 (L12),20-30 nm,31,,,,,,,1320,,920,,,36,,,,,,,,,,
On the effect of Fe in L12 stregnthened Al-Co-Cr-Fe-Ni-Ti complex concentrated alloy,Fe11.5 Alloy-50h,11.53,39.88,21.68,0,11.9,7.69,7.32,0,0,0,0,0,0,0,Button flipped and re-melted five times to achieve compositional homogeneity,,,0,,,Solutionizing treatment in a vacuum-sealed quartz tube followed by water quenching,1180,20 hours,1,900,50 hours,Face‐Centered Cubic (FCC) (Classification value: 1),40.5,γ′ phase with ordered L12 structure (Classification value: 1),95.7,59.5 ± 6.3,,,,,,,,,135,,429,,,950,,,,,,,,
On the effect of Fe in L12 stregnthened Al-Co-Cr-Fe-Ni-Ti complex concentrated alloy,Fe5 Alloy-50h,5.08,46.95,20.78,0,12.09,7.71,7.39,0,0,0,0,0,0,0,Button flipped and re-melted five times to achieve compositional homogeneity,,,0,,,Solutionizing treatment in a vacuum-sealed quartz tube followed by water quenching,1230,20 hours,1,900,50 hours,Face‐Centered Cubic (FCC) (Classification: 1),≈39.8% (derived from 100% – 60.2%),γ′ phase with L12 (ordered) crystal structure (Classification: L12 → 1),Average radius ~90.3 ± 3.8 nm,60.2 ± 4.1,,,,,,,,,,,453,,,950°C and 1150°C,,,,,,,,
On the effect of Fe in L12 stregnthened Al-Co-Cr-Fe-Ni-Ti complex concentrated alloy,Fe0 Alloy-50h,0,52.09,20.86,0,11.94,7.79,7.32,0,0,0,0,0,0,0,Button flipped and re-melted five times to achieve compositional homogeneity,,,0,,,Solutionizing treatment in a vacuum-sealed quartz tube followed by water quenching,1230,20 hours,1,900,50 hours,FCC (code 1) – Ni‐rich solid solution with a face‐centered cubic structure,35.4,"L12 (ordered intermetallic phase, cuboidal morphology, code 1)",82.3 ± 8.3 nm,64.6 ± 6.2,,,,,,,,,336,,473,,,950,336,,,,,,,
On the effect of Fe in L12 stregnthened Al-Co-Cr-Fe-Ni-Ti complex concentrated alloy,Fe11.5 Alloy-550h,11.5,40.7,20.6,0,12.2,7.8,7.2,0,0,0,0,0,0,0,1,1180,20,0,,,0,,,1,900,550,1,55.5,1,206.1,44.5,,,,,,,,,,,,,,,,,,,,,,
On the effect of Fe in L12 stregnthened Al-Co-Cr-Fe-Ni-Ti complex concentrated alloy,Fe5 Alloy-550h,5,47.2,20.6,0,12.2,7.8,7.2,0,0,0,0,0,0,0,1,1180,20,0,,,0,,,1,900,550,1,43.4,1,189.1,56.6,,,,,,,,,,,,,,,,,,,,,,
On the effect of Fe in L12 stregnthened Al-Co-Cr-Fe-Ni-Ti complex concentrated alloy,Fe0 Alloy-550h,0,52.2,20.6,0,12.2,7.8,7.2,0,0,0,0,0,0,0,1,1180,20,0,,,0,,,1,900,550,1,47.5,1,176.5,52.5,,,,,,,,,,,,,,,,,,,,,,
